journey_date,cls,QUOTA_CODE,PSGN,dayofweek,month,is_weekend,cls_enc,quota_enc,lag1,lag2,lag3,lag7,lag14,lag30,rolling_7_mean,rolling_7_std
2023-01-31,3A,TQ,88,1,1,0,2,11,83.0,133.0,132.0,104.0,85.0,132.0,53.42857142857143,57.15142792866831
2023-01-31,SL,GN,1132,1,1,0,3,3,1174.0,1387.0,1266.0,1169.0,1228.0,1503.0,215.28571428571428,426.5636780465157
2023-01-31,SL,HP,5,1,1,0,3,5,8.0,4.0,7.0,3.0,3.0,7.0,212.7142857142857,427.9469259482669
2023-01-31,SL,LD,6,1,1,0,3,6,5.0,7.0,8.0,11.0,5.0,10.0,211.57142857142856,428.579380878602
2023-01-31,3A,PT,34,1,1,0,2,9,43.0,51.0,45.0,24.0,50.0,55.0,193.57142857142856,433.28545523048166
2023-01-31,SL,PT,96,1,1,0,3,9,96.0,97.0,96.0,97.0,96.0,96.0,207.0,427.78031745277855
2023-01-31,SL,SS,98,1,1,0,3,10,104.0,87.0,97.0,115.0,76.0,110.0,216.1428571428572,424.2858425524898
2023-01-31,3A,SS,34,1,1,0,2,10,45.0,41.0,42.0,38.0,35.0,34.0,210.7142857142857,426.5105369099784
2023-01-31,SL,TQ,224,1,1,0,3,11,229.0,274.0,241.0,201.0,218.0,258.0,74.71428571428571,78.84312332244359
2023-01-31,3A,GN,541,1,1,0,2,3,562.0,515.0,558.0,478.0,442.0,625.0,154.28571428571428,193.8914767644641
2023-01-31,3A,HP,2,1,1,0,2,5,4.0,2.0,2.0,2.0,2.0,2.0,148.71428571428572,198.1360763765769
2023-01-31,2A,TQ,33,1,1,0,1,11,21.0,41.0,30.0,23.0,24.0,40.0,138.0,203.4191075915272
2023-01-31,2A,SS,18,1,1,0,1,10,17.0,26.0,22.0,19.0,26.0,15.0,125.57142857142856,208.43852582384807
2023-01-31,2A,PT,4,1,1,0,1,9,11.0,13.0,13.0,4.0,8.0,17.0,120.71428571428572,211.0092527874186
2023-01-31,2A,GN,125,1,1,0,1,3,152.0,169.0,158.0,140.0,145.0,170.0,142.28571428571428,204.34424735864573
2023-01-31,1A,GN,34,1,1,0,0,3,32.0,40.0,53.0,33.0,40.0,58.0,34.42857142857143,52.77896406352621
2023-02-01,SL,GN,1131,2,2,0,3,3,1132.0,1174.0,1387.0,1164.0,1125.0,1290.0,192.8571428571429,417.45755415827546
2023-02-01,3A,TQ,90,2,2,0,2,11,88.0,83.0,133.0,102.0,95.0,128.0,203.0,413.3146501153812
2023-02-01,SL,HP,5,2,2,0,3,5,5.0,8.0,4.0,3.0,4.0,4.0,202.1428571428572,413.78514093324185
2023-02-01,3A,SS,34,2,2,0,2,10,34.0,45.0,41.0,43.0,30.0,22.0,185.28571428571428,418.5445871452304
2023-02-01,SL,PT,96,2,2,0,3,9,96.0,96.0,97.0,85.0,96.0,96.0,198.42857142857144,413.3149957529798
2023-02-01,SL,SS,97,2,2,0,3,10,98.0,104.0,87.0,88.0,84.0,71.0,207.8571428571429,409.6219511417117
2023-02-01,SL,TQ,200,2,2,0,3,11,224.0,229.0,274.0,203.0,187.0,250.0,239.57142857142856,399.49628998813705
2023-02-01,SL,LD,6,2,2,0,3,6,6.0,5.0,7.0,7.0,9.0,6.0,78.71428571428571,75.92257961395964
2023-02-01,3A,PT,28,2,2,0,2,9,34.0,43.0,51.0,29.0,24.0,55.0,71.0,77.54783470005214
2023-02-01,1A,GN,35,2,2,0,0,3,34.0,32.0,40.0,38.0,43.0,48.0,75.14285714285714,74.13372730282397
2023-02-01,2A,GN,130,2,2,0,1,3,125.0,152.0,169.0,145.0,125.0,179.0,60.85714285714285,83.89364014716966
2023-02-01,2A,PT,4,2,2,0,1,9,4.0,11.0,13.0,5.0,7.0,17.0,29.428571428571427,44.59393509905783
2023-02-01,2A,TQ,23,2,2,0,1,11,33.0,21.0,41.0,26.0,29.0,30.0,28.571428571428573,45.051293517711365
2023-02-01,3A,GN,457,2,2,0,2,3,541.0,562.0,515.0,507.0,477.0,567.0,101.0,199.16910737695565
2023-02-01,3A,HP,1,2,2,0,2,5,2.0,4.0,2.0,4.0,2.0,2.0,101.14285714285714,199.08576759061108
2023-02-01,2A,SS,28,2,2,0,1,10,18.0,17.0,26.0,24.0,19.0,13.0,103.42857142857144,197.84577928516023
2023-02-02,3A,TQ,92,3,2,0,2,11,90.0,88.0,83.0,84.0,90.0,128.0,98.42857142857144,197.6519307122641
2023-02-02,SL,TQ,207,3,2,0,3,11,200.0,224.0,229.0,196.0,177.0,284.0,126.42857142857144,195.92078088082525
2023-02-02,SL,SS,108,3,2,0,3,10,97.0,98.0,104.0,107.0,78.0,95.0,140.14285714285714,188.91217410164305
2023-02-02,SL,PT,96,3,2,0,3,9,96.0,96.0,96.0,96.0,96.0,96.0,149.14285714285714,184.403930337207
2023-02-02,SL,LD,5,3,2,0,3,6,6.0,6.0,5.0,9.0,9.0,7.0,72.71428571428571,70.80186976277334
2023-02-02,SL,HP,4,3,2,0,3,5,5.0,5.0,8.0,3.0,4.0,4.0,73.14285714285714,70.30985841598705
2023-02-02,SL,GN,1060,3,2,0,3,3,1131.0,1132.0,1174.0,1073.0,1081.0,1210.0,232.1428571428572,401.81149335288575
2023-02-02,3A,PT,21,3,2,0,2,9,28.0,34.0,43.0,33.0,22.0,55.0,223.28571428571428,406.1271206103306
2023-02-02,3A,SS,46,3,2,0,2,10,34.0,34.0,45.0,26.0,46.0,40.0,199.57142857142856,412.50974014474576
2023-02-02,3A,GN,418,3,2,0,2,3,457.0,541.0,562.0,433.0,409.0,599.0,251.0,419.964284195692
2023-02-02,2A,TQ,24,3,2,0,1,11,23.0,33.0,21.0,25.0,21.0,32.0,240.57142857142856,425.3268770968422
2023-02-02,2A,SS,21,3,2,0,1,10,28.0,18.0,17.0,17.0,19.0,13.0,243.7142857142857,423.381512069085
2023-02-02,2A,PT,5,3,2,0,1,9,4.0,4.0,11.0,8.0,3.0,16.0,243.57142857142856,423.47564162253656
2023-02-02,2A,GN,116,3,2,0,1,3,130.0,125.0,152.0,124.0,116.0,155.0,100.57142857142856,162.38622390549526
2023-02-02,1A,GN,28,3,2,0,0,3,35.0,34.0,32.0,40.0,33.0,47.0,97.14285714285714,164.44596738891508
2023-02-02,3A,HP,2,3,2,0,2,5,1.0,2.0,4.0,2.0,3.0,4.0,32.0,45.26956299030565
2023-02-03,3A,PT,25,4,2,0,2,9,21.0,28.0,34.0,22.0,20.0,55.0,31.714285714285715,45.342085989780834
2023-02-03,3A,SS,36,4,2,0,2,10,46.0,34.0,34.0,52.0,43.0,31.0,34.285714285714285,45.60597287532281
2023-02-03,3A,TQ,107,4,2,0,2,11,92.0,90.0,88.0,99.0,93.0,106.0,46.85714285714285,47.93547250011671
2023-02-03,SL,GN,1113,4,2,0,3,3,1060.0,1131.0,1132.0,1102.0,1210.0,1173.0,179.57142857142858,389.4718034906836
2023-02-03,SL,PT,95,4,2,0,3,9,96.0,96.0,96.0,90.0,96.0,96.0,188.28571428571428,386.3680086332693
2023-02-03,SL,LD,10,4,2,0,3,6,5.0,6.0,6.0,6.0,8.0,9.0,188.8571428571429,386.0476777858008
2023-02-03,SL,TQ,188,4,2,0,3,11,207.0,200.0,224.0,226.0,187.0,224.0,215.42857142857144,378.9036188543893
2023-02-03,SL,SS,104,4,2,0,3,10,108.0,97.0,98.0,76.0,77.0,98.0,224.28571428571428,374.98742836070033
2023-02-03,SL,HP,3,4,2,0,3,5,4.0,5.0,5.0,5.0,6.0,3.0,211.7142857142857,381.5786132571348
2023-02-03,3A,GN,459,4,2,0,2,3,418.0,457.0,541.0,516.0,488.0,521.0,106.28571428571428,158.21790278569824
2023-02-03,2A,TQ,33,4,2,0,1,11,24.0,23.0,33.0,25.0,25.0,33.0,80.14285714285714,153.86187373900034
2023-02-03,2A,SS,17,4,2,0,1,10,21.0,28.0,18.0,31.0,20.0,21.0,67.71428571428571,154.747874821933
2023-02-03,2A,PT,4,4,2,0,1,9,5.0,4.0,4.0,2.0,7.0,16.0,67.85714285714286,154.6796997792839
2023-02-04,3A,TQ,112,5,2,1,2,11,107.0,92.0,90.0,132.0,102.0,105.0,180.57142857142856,412.8909691201205
2023-02-04,SL,PT,96,5,2,1,3,9,95.0,96.0,96.0,96.0,96.0,96.0,190.1428571428572,409.52754427975833
2023-02-04,SL,SS,102,5,2,1,3,10,104.0,108.0,97.0,97.0,79.0,80.0,204.7142857142857,403.4875934836634
2023-02-04,SL,TQ,216,5,2,1,3,11,188.0,207.0,200.0,241.0,207.0,202.0,72.57142857142857,70.56641586207238
2023-02-04,3A,SS,38,5,2,1,2,10,36.0,46.0,34.0,42.0,40.0,34.0,77.42857142857143,65.91372427362104
2023-02-04,3A,PT,34,5,2,1,2,9,25.0,21.0,28.0,45.0,27.0,55.0,79.57142857142857,63.55799751108383
2023-02-04,3A,HP,2,5,2,1,2,5,3.0,2.0,1.0,2.0,2.0,2.0,51.42857142857143,70.21836688231174
2023-02-04,3A,GN,506,5,2,1,2,3,459.0,418.0,457.0,558.0,473.0,495.0,102.14285714285714,170.7487711731559
2023-02-04,2A,TQ,28,5,2,1,1,11,33.0,24.0,23.0,30.0,29.0,27.0,80.0,167.78359077494207
2023-02-04,2A,SS,18,5,2,1,1,10,17.0,21.0,28.0,22.0,15.0,14.0,82.14285714285714,166.71375525275675
2023-02-04,2A,PT,12,5,2,1,1,9,4.0,5.0,4.0,13.0,5.0,16.0,77.57142857142857,168.6177700628029
2023-02-04,2A,GN,143,5,2,1,1,3,130.0,116.0,130.0,158.0,126.0,139.0,92.57142857142856,167.83012953862686
2023-02-04,1A,SS,2,5,2,1,0,10,4.0,1.0,3.0,2.0,6.0,1.0,92.85714285714286,167.65185014530184
2023-02-04,1A,GN,47,5,2,1,0,3,33.0,28.0,35.0,53.0,34.0,37.0,97.14285714285714,165.3394776124043
2023-02-05,3A,TQ,103,6,2,1,2,11,112.0,107.0,92.0,133.0,93.0,110.0,47.57142857142857,51.80365863159599
2023-02-05,SL,GN,1285,6,2,1,3,3,1177.0,1113.0,1060.0,1387.0,1188.0,1168.0,211.0,429.05632885826685
2023-02-05,SL,HP,4,6,2,1,3,5,5.0,3.0,4.0,4.0,6.0,3.0,209.28571428571428,429.98360987589353
2023-02-05,SL,LD,7,6,2,1,3,6,3.0,10.0,5.0,7.0,8.0,7.0,209.1428571428572,430.0633397425035
2023-02-05,SL,TQ,240,6,2,1,3,11,216.0,188.0,207.0,274.0,222.0,214.0,221.42857142857144,428.6517067670273
2023-02-05,SL,PT,96,6,2,1,3,9,96.0,95.0,96.0,97.0,97.0,96.0,234.57142857142856,422.23644921728265
2023-02-05,SL,SS,93,6,2,1,3,10,102.0,104.0,108.0,87.0,97.0,74.0,244.42857142857144,417.52559088949135
2023-02-05,3A,SS,55,6,2,1,2,10,38.0,36.0,46.0,41.0,43.0,45.0,233.8571428571429,422.3463936042026
2023-02-05,3A,PT,42,6,2,1,2,9,34.0,25.0,21.0,51.0,41.0,49.0,70.57142857142857,75.33006735440266
2023-02-05,3A,HP,2,6,2,1,2,5,2.0,3.0,2.0,2.0,2.0,1.0,40.142857142857146,42.78796003327704
2023-02-05,1A,SS,4,6,2,1,0,10,2.0,4.0,1.0,2.0,1.0,1.0,26.714285714285715,36.645664981066304
2023-02-05,2A,GN,146,6,2,1,1,3,143.0,130.0,116.0,169.0,159.0,165.0,32.57142857142857,51.10726348526371
2023-02-05,1A,GN,42,6,2,1,0,3,47.0,33.0,28.0,40.0,51.0,42.0,33.42857142857143,51.67158194745125
